Astrid 60	25	20	26	27	27	26	40
Bastion 60	25	20	26	27	27	26	40
Boyd 60	30	20	28	27	25	20	40
Brom 60	29	20	27	24	30	25	40
Calill 60	15	30	28	28	20	28	40
Devdan 60	25	20	28	26	28	25	40
Elincia 60	20	25	26	28	24	27	40
Ena 75	35	20	31	31	36	30	40
Gatrie 60	29	20	27	24	30	25	40
Geoffery 60	26	20	26	27	27	25	40
Giffca 80	32	20	35	33	35	37	40
Haar 60	29	20	28	26	29	22	40
Ike 60	26	20	27	28	24	22	40
Ilyana 60	15	30	28	28	20	28	40
Janaff 65	26	20	35	36	26	26	40
Jill 60	27	20	26	27	27	25	40
Kieran 60	26	20	26	27	27	25	40
Largo 60	30	20	24	28	26	20	40
Lethe 70	26	20	34	36	27	27	40
Lucia 60	22	20	29	30	22	25	40
Makalov 60	26	20	26	27	27	25	40
Mia 60	22	20	29	30	22	25	40
Mist 60	20	26	24	26	20	29	40
Mordecai 75	30	20	33	34	30	24	40
Muarim 75	30	20	33	34	30	24	40
Nasir 80	30	25	30	32	35	35	40
Neasala 70	29	24	34	37	27	32	40
Nephenee 60	25	20	28	26	28	25	40
Oscar 60	26	20	26	27	27	25	40
Ranulf 70	29	20	34	35	30	24	40
Reyson 60	10	20	17	26	15	35	40
Rhys 60	15	29	22	25	20	30	40
Rolf 60	25	20	30	28	25	23	40
Shinon 60	25	20	30	28	25	23	40
Soren 60	15	30	28	28	20	28	40
Sothe 40	20	15	20	20	20	20	40
Stefan 60	24	20	29	30	24	22	40
Tanith 60	23	20	26	28	24	27	40
Taureno 60	29	20	27	24	30	25	40
Tibarn 75	33	20	35	36	32	29	40
Titania 60	25	20	26	27	27	26	40
Tormod 60	15	30	28	28	20	28	40
Ulki 65	26	20	35	36	26	26	40
Volke 60	23	20	30	30	22	20	40
Zihark 60	24	20	29	30	24	22	40
